01.11.1;Blé
46.12.1;Services d'intermédiaire du commerce de gros de combustibles, minerais, métaux et produits chimiques
46.13.1;Services d'intermédiaire du commerce de gros de bois et de matériaux de construction
46.14.1;Services d'intermédiaire du commerce de gros de machines, équipements industriels, navires et aéronefs
46.15.1;Services d'intermédiaire du commerce de gros de meubles, articles ménagers et quincaillerie
46.16.1;Services d'intermédiaire du commerce de gros de textiles, habillement, fourrures, chaussures et articles en cuir
46.17.1;Services d'intermédiaire du commerce de gros de denrées alimentaires, boissons et tabac
46.18.1;Services d'intermédiaire du commerce de gros d'autres produits spécifiques
46.19.1;Services d'intermédiaire du commerce de gros de produits divers
46.21.1;Commerce de gros de céréales, semences et aliments pour le bétail
46.21.2;Commerce de gros de tabac non manufacturé
46.22.1;Commerce de gros de fleurs et plantes
46.23.1;Commerce de gros d'animaux vivants
46.24.1;Commerce de gros de cuirs et peaux
46.31.1;Commerce de gros de fruits et légumes
46.32.1;Commerce de gros de viandes et de produits à base de viande
46.33.1;Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles
46.34.1;Commerce de gros de boissons
46.35.1;Commerce de gros de produits à base de tabac
46.36.1;Commerce de gros de sucre, chocolat et confiserie
46.37.1;Commerce de gros de café, thé, cacao et épices
46.38.1;Commerce de gros de poissons, crustacés et mollusques
46.38.2;Commerce de gros d'autres produits alimentaires
46.39.1;Commerce de gros non spécialisé de denrées alimentaires, boissons et tabac
46.41.1;Commerce de gros de textiles
46.42.1;Commerce de gros de vêtements et de chaussures
46.43.1;Commerce de gros d'appareils électroménagers
46.44.1;Commerce de gros de vaisselle, verrerie et produits d'entretien
46.45.1;Commerce de gros de parfums et de produits de beauté
46.46.1;Commerce de gros de produits pharmaceutiques
46.47.1;Commerce de gros de meubles, de tapis et d'appareils d'éclairage
46.48.1;Commerce de gros d'articles d'horlogerie et de bijouterie
46.49.1;Commerce de gros d'articles de coutellerie et d'articles métalliques à usage ménager, d'articles de vannerie, d'articles en liège et d'autres articles ménagers n.c.a.
46.49.2;Commerce de gros de livres, magazines et articles de papeterie
46.49.3;Commerce de gros d'autres biens de consommation
46.51.1;Commerce de gros d'ordinateurs, de périphériques et de logiciels
46.52.1;Commerce de gros d'équipements et composants électroniques et de télécommunications
46.61.1;Commerce de gros de matériel agricole
46.62.1;Commerce de gros de machines-outils
46.63.1;Commerce de gros de machines pour l'extraction, la construction et le génie civil
46.64.1;Commerce de gros de machines pour l'industrie textile et l'habillement
46.65.1;Commerce de gros de mobilier de bureau
46.66.1;Commerce de gros d'autres machines et équipements de bureau
46.69.1;Commerce de gros d'autres machines et équipements
46.71.1;Commerce de gros de combustibles solides, liquides et gazeux et de produits annexes
46.72.1;Commerce de gros de minerais et métaux
46.73.1;Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires
46.74.1;Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage
46.75.1;Commerce de gros de produits chimiques
46.76.1;Commerce de gros d'autres produits intermédiaires
46.77.1;Commerce de gros de déchets et débris
46.90.1;Commerce de gros non spécialisé
47.00.1;Commerce de détail de fruits, légumes, viandes, poissons, produits de boulangerie-pâtisserie, produits laitiers et œufs
47.00.2;Commerce de détail d'autres produits alimentaires, de boissons et de tabac
47.00.3;Commerce de détail d'équipements d'information et de communication
47.00.4;Commerce de détail de matériaux de construction et de quincaillerie
47.00.5;Commerce de détail d'articles ménagers
47.00.6;Commerce de détail d'articles culturels et récréatifs
47.00.7;Commerce de détail d'habillement, de produits pharmaceutiques et médicaux, d'articles de toilette, de fleurs et plantes, d'animaux de compagnie et d'aliments pour animaux de compagnie
47.00.8;Commerce de détail de carburants automobiles et d'autres articles neufs n.c.a.
47.00.9;Commerce de détail de biens d'occasion
49.10.1;Transport ferroviaire interurbain de voyageurs
49.20.1;Transport ferroviaire de fret
49.31.1;Transport ferroviaire urbain et suburbain de voyageurs
49.31.2;Autres transports terrestres urbains et suburbains de voyageurs
49.32.1;Services de taxi
49.39.1;Transport terrestre régulier interurbain et spécial de voyageurs
49.39.2;Transport de voyageurs par funiculaires, téléphériques et remontées mécaniques
49.39.3;Transport terrestre non régulier de voyageurs
49.41.1;Transport routier de fret
49.41.2;Location de camions avec conducteur
49.42.1;Services de déménagement
49.50.1;Transport par conduites
50.10.1;Transport maritime et côtier de passagers
50.10.2;Location de bateaux maritimes et côtiers pour passagers avec pilote
50.20.1;Transport maritime et côtier de fret
50.20.2;"Location de bateaux maritimes et côtiers pour fret avec pilote ; services de remorquage et poussage"
50.30.1;Transport fluvial de passagers
50.30.2;Location de bateaux fluviaux pour passagers avec pilote
50.40.1;Transport fluvial de fret
50.40.2;"Location de bateaux fluviaux pour fret avec pilote ; services de remorquage et poussage"
51.10.1;Transport aérien de passagers
51.10.2;Location d'appareils de transport aérien de passagers avec pilote
51.21.1;Transport aérien de fret
51.21.2;Location d'appareils de transport aérien de fret avec pilote
51.22.1;Transport spatial
52.10.1;Entreposage et stockage
52.21.1;Services auxiliaires des transports ferroviaires
52.21.2;Services auxiliaires des transports routiers
52.21.3;Services auxiliaires des transports par conduites
52.22.1;Services auxiliaires des transports par eau
52.23.1;Services des installations aéroportuaires (à l'exclusion de la manutention), services de contrôle de l'espace aérien et autres services auxiliaires des transports aériens
52.23.2;Services auxiliaires des transports spatiaux
52.24.1;Services de manutention
52.29.1;Organisation du transport de fret
52.29.2;Autres services auxiliaires des transports n.c.a.
53.10.1;Services de poste dans le cadre d'une obligation de service universel
53.20.1;Autres services de poste et de courrier
55.10.1;Hébergement hôtelier en chambre ou unité d'habitation, avec entretien quotidien (à l'exclusion des biens en multipropriété)
55.20.1;Hébergement touristique et autres services d'hébergement de courte durée
55.30.1;Services des terrains de camping et parcs pour caravanes et véhicules de loisirs
55.90.1;Autres services d'hébergement
56.10.1;Restauration et restauration mobile
56.21.1;Services de traiteurs
56.29.1;Services de restauration collective sous contrat
56.29.2;Services de cantines et restaurants d'entreprise
56.30.1;Services de débits de boissons
58.11.1;Livres imprimés
58.11.2;Livres sur disque, cassette ou autre support physique
58.11.3;Livres en ligne
58.11.4;Espaces publicitaires dans les livres
58.11.5;Édition de livres pour compte de tiers
58.11.6;Services de licence pour livres
58.12.1;Répertoires et fichiers d'adresses imprimés ou sur support physique
58.12.2;Répertoires et fichiers d'adresses en ligne
58.12.3;Services de licence pour l'utilisation de répertoires et de fichiers d'adresses
58.12.4;Vente d'espaces publicitaires dans des répertoires et fichiers d'adresses
58.13.1;Journaux imprimés
58.13.2;Journaux en ligne
58.13.3;Espaces publicitaires dans les journaux
58.14.1;Revues et périodiques imprimés
58.14.2;Revues et périodiques en ligne
58.14.3;Espaces publicitaires dans les revues et périodiques
58.14.4;Services de licence pour les revues et périodiques
58.19.1;Autres activités d'édition d'imprimés
58.19.2;Autres contenus en ligne
58.19.3;Services de licence pour les autres imprimés
58.21.1;Jeux électroniques, sur support physique
58.21.2;Jeux électroniques, en téléchargement
58.21.3;Jeux en ligne
58.21.4;Services de licence pour l'utilisation de jeux électroniques
58.29.1;Logiciels système, sur support physique
58.29.2;Logiciels d'application, sur support physique
58.29.3;Logiciels en téléchargement
58.29.4;Logiciels en ligne
58.29.5;Services de licence pour l'utilisation de logiciels informatiques
59.11.1;Production de films cinématographiques, de vidéos et de programmes de télévision
59.11.2;Produits cinématographiques, vidéos et programmes de télévision
59.11.3;Vente d'espaces publicitaires ou de temps d'antenne dans les produits cinématographiques, vidéos et émissions de télévision
59.12.1;Post-production de films cinématographiques, de vidéos et de programmes de télévision
59.13.1;Services de licence et de distribution de films cinématographiques, de vidéos et de programmes de télévision
59.14.1;Projection de films cinématographiques
59.20.1;"Services d'enregistrement sonore et d'enregistrement en direct ; originaux d'enregistrement sonore"
59.20.2;"Production de programmes radio ; originaux de programmes radio"
59.20.3;Édition musicale
59.20.4;Services de licence pour l'utilisation d'originaux acoustiques
60.10.1;"Radiodiffusion ; originaux de radiodiffusion"
60.10.2;Programmes de stations de radio
60.10.3;Temps d'antenne publicitaire à la radio
60.20.1;Programmation de télévision et télédiffusion
60.20.2;Originaux d'émissions de télévision
60.20.3;Temps d'antenne publicitaire à la télévision
61.10.1;Transmission de messages ou de données
61.10.2;Services de portage pour télécommunications filaires
61.10.3;Services de transmission de données via des réseaux de télécommunications filaires
61.10.4;Services de télécommunications par l'internet filaire
61.10.5;Services de distribution de programmes à domicile par une infrastructure filaire
61.20.1;Services de télécommunications mobiles et services de réseaux privés pour les systèmes de télécommunications sans fil
61.20.2;Services de portage pour télécommunications sans fil
61.20.3;Services de transmission de données via des réseaux de télécommunications sans fil
61.20.4;Services de télécommunications par l'internet sans fil
61.20.5;Services de distribution de programmes à domicile par des réseaux sans fil
61.30.1;Services de télécommunications par satellite, à l'exclusion des services de distribution de programmes à domicile par satellite
;
61.30.2;Services de distribution de programmes à domicile par satellite
61.90.1;Autres services de télécommunications
62.01.1;Services de conception et développement informatique
62.01.2;Originaux de logiciels
62.02.1;Services de conseil en configurations informatiques
62.02.2;Services de conseils en systèmes et logiciels informatiques
62.02.3;Services d'assistance technique informatique
62.03.1;Services de gestion d'installations informatiques
62.09.1;Installation d'ordinateurs et d'équipements périphériques
62.09.2;Autres services informatiques n.c.a.
63.11.1;Traitement de données, hébergement, services applicatifs et autres services de fourniture d'infrastructures des technologies de l'information
63.11.2;Espaces publicitaires sur internet
63.12.1;Contenu de portails internet
63.12.2;Espaces publicitaires sur des portails internet
63.91.1;Services des agences de presse
63.99.1;Services d'information n.c.a.
63.99.2;Compilations originales de faits/informations
64.11.1;Services de banque centrale
64.19.1;Services de dépôts
64.19.2;Services de crédits des institutions monétaires
64.19.3;Autres services d'intermédiation monétaire n.c.a.
64.20.1;Services des sociétés holding
64.30.1;Services des fonds de placement et entités financières similaires
64.91.1;Services de crédit-bail
64.92.1;Autres services de crédits, autres que ceux des institutions monétaires
64.99.1;Autres services financiers, hors assurances et caisses de retraite, n.c.a.
65.11.1;Assurance vie
65.12.1;Assurance accidents et assurance maladie
65.12.2;Assurance de véhicules automobiles
65.12.3;Assurance maritime, assurance aérienne et autre assurance-transports
65.12.4;Assurance incendie et autres services d'assurance dommages
65.12.5;Assurance responsabilité civile générale
65.12.6;Assurances crédit et caution
65.12.7;Assurance voyages et assistance, assurance protection juridique et assurance contre les pertes financières diverses
65.12.9;Autres services d'assurances non-vie
65.20.1;Réassurance vie, accidents et maladie
65.20.2;Réassurance transports et dommages
65.20.3;Réassurance responsabilité civile générale et crédit et caution
65.20.4;Réassurance protection juridique et pertes financières diverses
65.20.5;Réassurance en matière de financement des retraites
65.20.6;Autres services de réassurances non-vie
65.30.1;Caisses de retraite
66.11.1;Services liés à l'administration de marchés financiers
66.12.1;Services de courtage de valeurs mobilières et de marchandises
66.19.1;Services de traitement et compensation des opérations sur valeurs immobilières
66.19.2;Services auxiliaires liés aux banques d'investissement
66.19.3;Services de fiducie et de garde
66.19.9;Autres services auxiliaires aux services financiers, hors assurances et caisses de retraite, n.c.a.
66.21.1;Services d'évaluation des risques et dommages
66.22.1;Services des agents et courtiers d'assurances
66.29.1;Autres services auxiliaires des assurances et caisses de retraite
66.30.1;Services de gestion de fonds
68.10.1;Transactions sur biens immobiliers propres
68.20.1;Services de location et exploitation de biens immobiliers propres ou loués
68.31.1;Services des agences immobilières
68.32.1;Services d'administration de biens immobiliers pour compte de tiers
69.10.1;Services juridiques
69.20.1;Services d'audit financier
69.20.2;Services comptables
69.20.3;Services de conseil fiscal
69.20.4;Services d'insolvabilité et de mise sous séquestre
70.10.1;Services des sièges sociaux
70.21.1;Services de relations publiques et communication
70.22.1;Services de conseil en gestion d'entreprises
70.22.2;Autres services de gestion de projets, à l'exclusion des projets de construction
70.22.3;Autres services de conseil aux entreprises
71.11.1;Plans et dessins architecturaux
71.11.2;Services d'architecture pour bâtiments
71.11.3;Services d'aménagement urbain et rural
71.11.4;Services d'architecture paysagère et services de conseil en architecture paysagère
71.12.1;Services d'ingénierie
71.12.2;Services de gestion de projet pour projets de constructions
71.12.3;Services de prospection et de conseil géologiques, géophysiques et autres
71.20.1;Services de contrôle et analyses techniques
72.00.1;Recherche et développement expérimental interdisciplinaires, à l'exclusion des projets originaux
72.00.2;Projets originaux de recherche et développement interdisciplinaires
72.11.1;Recherche et développement expérimental en biotechnologie de la santé
72.11.2;Recherche et développement expérimental en biotechnologies environnementale et industrielle
72.11.3;Recherche et développement expérimental en biotechnologie agricole
72.11.4;Projets originaux de recherche et développement en biotechnologie
72.19.1;Recherche et développement  expérimental en physique
72.19.2;Recherche et développement expérimental en chimie et biologie
72.19.3;Recherche et développement expérimental en ingénierie et technologie, à l'exclusion des biotechnologies
72.19.4;Recherche et développement expérimental en médecine et pharmacie
72.19.5;Recherche et développement expérimental en agronomie
72.19.6;Recherche et développement expérimental en autres sciences naturelles
72.19.7;Projets originaux de recherche et développement en autres sciences naturelles et ingénierie
72.20.1;Recherche et développement expérimental en psychologie
72.20.2;Recherche et développement expérimental en droit
72.20.3;Recherche et développement expérimental en langues et littérature
72.20.4;Recherche et développement expérimental en autres sciences sociales et humaines
72.20.5;Recherche et développement expérimental en économie
72.20.6;Projets originaux de recherche et développement en sciences sociales et humaines
73.11.1;Services fournis par les agences publicitaires
73.12.1;Vente d'espaces publicitaires pour compte de tiers
73.12.2;Revente d'espaces publicitaires pour compte de tiers
73.20.1;Études de marché et services similaires
73.20.2;Services de sondages d'opinion
74.10.1;Services de design de décoration d'intérieur et de produits industriels et autres services de design spécialisés
74.10.2;Designs originaux
74.20.1;Plaques et films photographiques, autres que cinématographiques, exposés
74.20.2;Services de photographie spécialisés
74.20.3;Autres services photographiques
74.30.1;Services de traduction et interprétation
74.90.1;Services spécialisés et techniques d'assistance et de conseil n.c.a.
74.90.2;Autres services spécialisés, techniques et commerciaux n.c.a.
75.00.1;Services vétérinaires
77.11.1;Location et location-bail de voitures et véhicules automobiles légers
77.12.1;Location et location-bail de camions
77.21.1;Location et location-bail d'articles de loisirs et de sport
77.22.1;Location de vidéocassettes et dvd
77.29.1;Location et location-bail d'autres biens personnels et domestiques
77.31.1;Location et location-bail de matériel agricole
77.32.1;Location et location-bail de machines et équipements pour la construction et le génie civil
77.33.1;Location et location-bail de machines de bureau et de matériel informatique
77.34.1;Location et location-bail de matériels de transport par eau
77.35.1;Location et location-bail de matériels de transport aérien
77.39.1;Location et location-bail d'autres machines, équipements et biens n.c.a.
77.40.1;Services de licence pour l'utilisation de produits de la propriété intellectuelle et similaires, à l'exclusion des œuvres protégées par des droits d'auteur
78.10.1;Services des agences de placement de main-d'œuvre
78.20.1;Services des agences de travail temporaire
78.30.1;Autres services de mise à disposition de ressources humaines
79.11.1;Services des agences de voyage pour la réservation de transports
79.11.2;Services des agences de voyage pour la réservation de l'hébergement, de croisières et de voyages à forfait
79.12.1;Services des voyagistes
79.90.1;Services de promotion touristique et d'information des visiteurs
79.90.2;Services des guides touristiques
79.90.3;Autres services de réservation n.c.a.
80.10.1;Services de sécurité privée
80.20.1;Services de systèmes de sécurité
80.30.1;Services d'enquête
81.10.1;Services d'appui combinés liés aux bâtiments
81.21.1;Services de nettoyage courant des bâtiments
81.22.1;Service de nettoyage industriel
81.29.1;Autres services de nettoyage
81.30.1;Services d'aménagement paysager
82.11.1;Services administratifs combinés
82.19.1;Photocopie, préparation de documents et autres services spécialisés de soutien administratif
82.20.1;Services des centres d'appels
82.30.1;Services d'organisation de salons professionnels et congrès
82.91.1;Services des agences de recouvrement et des sociétés d'information financière sur la clientèle
82.92.1;Services de conditionnement
82.99.1;Autres services de soutien aux entreprises n.c.a.
84.11.1;Services publics généraux
84.11.2;Services de soutien aux administrations
84.12.1;Services d'administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autres que sécurité sociale
84.13.1;Services d'administration publique (tutelle) des activités économiques
84.21.1;Services des affaires étrangères
84.22.1;Services de la défense
84.23.1;Services de la justice
84.24.1;Services de maintien de l'ordre et de sécurité
84.25.1;Services du feu et de secours
84.30.1;Services de sécurité sociale obligatoire
85.10.1;Enseignement préprimaire
85.20.1;Enseignement primaire
85.31.1;Enseignement secondaire général du premier cycle
85.31.2;Enseignement secondaire général du deuxième cycle
85.32.1;Enseignement secondaire technique ou professionnel du premier cycle
85.32.2;Enseignement secondaire technique ou professionnel du deuxième cycle
85.41.1;Enseignement post-secondaire non supérieur
85.42.1;Enseignement supérieur de cycle court
85.42.2;Enseignement supérieur du premier cycle (niveau licence ou équivalent)
85.42.3;Enseignement supérieur du deuxième cycle (niveau master ou équivalent)
85.42.4;Enseignement supérieur du troisième cycle (niveau doctorat ou équivalent)
85.51.1;Enseignement de disciplines sportives et d'activités de loisirs
85.52.1;Enseignement culturel
85.53.1;Enseignement de la conduite
85.59.1;Services d'enseignement divers n.c.a.
85.60.1;Services de soutien à l'enseignement
86.10.1;Services hospitaliers
86.21.1;Services des médecins généralistes
86.22.1;Services des médecins spécialistes
86.23.1;Services de soins dentaires
86.90.1;Autres services de santé humaine
87.10.1;Services d'hébergement médicalisé
87.20.1;Services d'hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes
87.30.1;Services d'hébergement social pour personnes âgées ou handicapées physiques
87.90.1;Autres services d'hébergement social
88.10.1;Services d'action sociale sans hébergement pour personnes âgées ou handicapées
88.91.1;Services d'action sociale sans hébergement pour jeunes enfants
88.99.1;Autres services d'action sociale sans hébergement n.c.a.
90.01.1;Services d'artistes du spectacle vivant
90.02.1;Services de soutien au spectacle vivant
90.03.1;Création artistique
90.04.1;Services de gestion de salles de spectacles
91.01.1;Services des bibliothèques et archives
91.02.1;Services de gestion des musées
91.02.2;Collections des musées
91.03.1;Services de gestion des sites et monuments historiques et attractions touristiques similaires
91.04.1;Services des jardins botaniques et zoologiques et des réserves naturelles
92.00.1;Jeux de hasard
92.00.2;Jeux d'argent
93.11.1;Services de gestion d'installations sportives
93.12.1;Services de clubs de sports
93.13.1;Services des centres de culture physique
93.19.1;Autres services liés au sport
93.21.1;Services des parcs d'attraction et parcs à thème
93.29.1;Autres services récréatifs n.c.a.
93.29.2;Autres services du spectacle n.c.a.
94.11.1;Services fournis par des organisations consulaires et patronales
94.12.1;Services fournis par des organisations professionnelles
94.20.1;Services fournis par des syndicats de salariés
94.91.1;Services fournis par des organisations religieuses
94.92.1;Services fournis par des organisations politiques
94.99.1;Services (à l'exclusion des services d'octroi d'aides financières) fournis par d'autres organisations associatives n.c.a.
94.99.2;Services d'octroi d'aides financières par des organisations associatives
95.11.1;Services de réparation d'ordinateurs et d'équipements périphériques
95.12.1;Services de réparation d'équipements de communication
95.21.1;Services de réparation de produits électroniques grand public
95.22.1;Services de réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
95.23.1;Services de réparation de chaussures et d'articles en cuir
95.24.1;Services de réparation de meubles et d'équipements du foyer
95.25.1;Services de réparation d'articles d'horlogerie et de bijouterie
95.29.1;Services de réparation d'autres biens personnels et domestiques
96.01.1;Services de blanchisserie-teinturerie
96.02.1;Services de coiffure et soins de beauté
96.02.2;Cheveux humains, non travaillés
96.03.1;Services funéraires et connexes
96.04.1;Services d'entretien corporel
96.09.1;Autres services personnels n.c.a.
97.00.1;Services des ménages en tant qu'employeurs de personnel domestique
98.10.1;Biens divers produits par les ménages privés pour leur usage propre
98.20.1;Services divers produits par les ménages privés pour leur usage propre
99.00.1;Services extra-territoriaux
