01.1;Cultures non permanentes
01.2;Cultures permanentes
01.3;"Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon"
01.4;Produits de l'élevage
01.6;Services annexes à l'agriculture et à l'élevage (à l'exclusion des services vétérinaires)
01.7;Chasse, piégeage et services annexes
02.1;Arbres forestiers et services des pépinières
02.2;Bois brut
02.3;Autres produits forestiers
02.4;Services de soutien à l'exploitation forestière
03.0;"Produits de la pêche et de l'aquaculture ; services de soutien à la pêche"
05.1;Houille
05.2;Lignite
06.1;Pétrole brut
06.2;Gaz naturel, liquéfié ou gazeux
07.1;Minerais de fer
07.2;Minerais de métaux non ferreux
08.1;Pierres, sables et argiles
08.9;Produits des industries extractives n.c.a.
09.1;Services de soutien à l'extraction d'hydrocarbures
09.9;Services de soutien aux autres industries extractives
10.1;Viande et produits à base de viande
10.2;Préparations et conserves à base de poisson et de produits de la pêche
10.3;Produits à base de fruits et légumes
10.4;Huiles et graisses végétales et animales
10.5;Produits laitiers
10.6;Produits du travail des grains et produits amylacés
10.7;Produits de boulangerie-pâtisserie et pâtes alimentaires
10.8;Autres produits alimentaires
10.9;Aliments pour animaux
11.0;Boissons
12.0;Produits à base de tabac
13.1;Fils et filés
13.2;Tissus
13.3;Ennoblissement textile
13.9;Autres textiles
14.1;Articles d'habillement, à l'exclusion des fourrures
14.2;Articles en fourrure
14.3;Articles à mailles
15.1;"Cuirs et peaux tannés et apprêtés ; articles de voyage et de maroquinerie, articles de sellerie et de bourrellerie ; peaux apprêtées et teintées"
15.2;Chaussures
16.1;Bois, sciés et rabotés
16.2;Articles en bois, liège, vannerie et sparterie
17.1;Pâte à papier, papier et carton
17.2;Articles en papier ou en carton
18.1;Travaux d'impression et services connexes
18.2;Reproduction d'enregistrements
19.1;Produits de la cokéfaction
19.2;Produits du raffinage du pétrole
20.1;Produits chimiques de base, engrais et produits azotés, matières plastiques de base et caoutchouc synthétique
20.2;Pesticides et autres produits agrochimiques
20.3;Peintures, vernis et revêtements similaires, encres d'imprimerie et mastics
20.4;Savons, produits d'entretien et parfums
20.5;Autres produits chimiques
20.6;Fibres artificielles ou synthétiques
21.1;Produits pharmaceutiques de base
21.2;Préparations pharmaceutiques
22.1;Produits en caoutchouc
22.2;Produits en plastique
23.1;Verre et articles en verre
23.2;Produits réfractaires
23.3;Matériaux de construction en terre cuite
23.4;Autres produits en porcelaine et céramique
23.5;Ciment, chaux et plâtre
23.6;Ouvrages en béton, en ciment ou en plâtre
23.7;Pierre taillée, façonnée et finie
23.9;Autres produits minéraux non métalliques
24.1;Produits sidérurgiques de base et ferroalliages
24.2;Tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.3;Autres produits de première transformation de l'acier
24.4;Métaux précieux et autres métaux non ferreux communs
24.5;Travaux de fonderie
25.1;Éléments en métal pour la construction
25.2;Réservoirs, citernes et conteneurs métalliques
25.3;Générateurs de vapeur, à l'exclusion des chaudières pour chauffage central
25.4;Armes et munitions
25.5;"Produits de la forge, de l'emboutissage, de l'estampage et du profilage ; produits de la métallurgie des poudres"
25.6;"Traitement et revêtement des métaux ; usinage"
25.7;Coutellerie, outillage et quincaillerie
25.9;Autres ouvrages en métaux
26.1;Composants et cartes électroniques
26.2;Ordinateurs et équipements périphériques
26.3;Équipements de communication
26.4;Produits électroniques grand public
26.5;"Instruments et appareils de mesure, d'essai et de navigation ; articles d'horlogerie"
26.6;Équipements d'irradiation médicale, électromédicaux et électrothérapeutiques
26.7;Matériel optique et photographique
26.8;Supports magnétiques et optiques
27.1;Moteurs, génératrices et transformateurs électriques et matériel de distribution et de commande électrique
27.2;Piles et accumulateurs électriques
27.3;Fils, câbles et matériel d'installation électrique
27.4;Appareils d'éclairage électrique
27.5;Appareils ménagers
27.9;Autres matériels électriques
28.1;Machines d'usage général
28.2;Autres machines d'usage général
28.3;Machines agricoles et forestières
28.4;Machines de formage des métaux et machines-outils
28.9;Autres machines d'usage spécifique
29.1;Véhicules automobiles
29.2;"Carrosseries automobiles ; remorques et semi-remorques"
29.3;Équipements automobiles
30.1;Navires et bateaux
30.2;Locomotives et autre matériel ferroviaire roulant
30.3;Aéronefs et engins spatiaux
30.4;Véhicules militaires de combat
30.9;Matériels de transport n.c.a.
31.0;Meubles
32.1;Articles de joaillerie et bijouterie et articles similaires
32.2;Instruments de musique
32.3;Articles de sport
32.4;Jeux et jouets
32.5;Instruments et fournitures à usage médical et dentaire
32.9;Produits manufacturés n.c.a.
33.1;Réparation d'ouvrages en métaux, de machines et d'équipements
33.2;Installation de machines et d'équipements industriels
35.1;Électricité, transport et distribution d'électricité
35.2;"Gaz manufacturé ; distribution de combustibles gazeux par conduites"
35.3;Production et distribution de vapeur et d'air conditionné
36.0;"Eau naturelle ; traitement et distribution d'eau"
37.0;"Collecte et traitement des eaux usées ; boues d'épuration"
38.1;"Déchets ; collecte des déchets"
38.2;Traitement et élimination des déchets
38.3;"Récupération de matériaux ; matières premières secondaires"
39.0;Dépollution et autres services de gestion des déchets
41.0;Bâtiments et travaux de construction de bâtiments
42.1;"Routes et voies ferrées ; travaux de construction relatifs aux routes et voies ferrées"
42.2;Ouvrages et travaux de construction relatifs aux réseaux
42.9;Ouvrages et travaux de construction relatifs à d'autres projets de génie civil
43.1;Travaux de démolition et de préparation de sites
43.2;Travaux d'installation électrique, plomberie et autres travaux d'installation
43.3;Travaux de finition
43.9;Autres travaux de construction spécialisés
45.1;Commerce de véhicules automobiles
45.2;Entretien et réparation de véhicules automobiles
45.3;Commerce d'équipements automobiles
45.4;Commerce et réparation de motocycles
46.1;Services d'intermédiaire du commerce de gros
46.2;Commerce de gros de produits agricoles bruts et d'animaux vivants
46.3;Commerce de gros de produits alimentaires, boissons et de tabac
46.4;Commerce de gros d'articles ménagers
46.5;Commerce de gros d'équipements d'information et de communication
46.6;Commerce de gros d'autres machines, équipements et matériels
46.7;Autres commerces de gros spécialisés
46.9;Commerce de gros non spécialisé
47.0;Commerce de détail, à l'exclusion des automobiles et des motocycles
49.1;Transport ferroviaire interurbain de voyageurs
49.2;Transport ferroviaire de fret
49.3;Autres transports terrestres de voyageurs
49.4;Transport routier de fret et services de déménagement
49.5;Transport par conduites
50.1;Transport maritime et côtier de passagers
50.2;Transport maritime et côtier de fret
50.3;Transport fluvial de passagers
50.4;Transport fluvial de fret
51.1;Transport aérien de passagers
51.2;Transport aérien de fret et transport spatial
52.1;Entreposage et stockage
52.2;Services auxiliaires des transports
53.1;Services de poste dans le cadre d'une obligation de service universel
53.2;Autres services de poste et de courrier
55.1;Hôtellerie et hébergement similaire
55.2;Hébergement touristique et autres services d'hébergement de courte durée
55.3;Services des terrains de camping et parcs pour caravanes et véhicules de loisirs
55.9;Autres services d'hébergement
56.1;Restauration et restauration mobile
56.2;Services de traiteurs et autres services de restauration
56.3;Services de débits de boissons
58.1;Édition de livres et périodiques et autres activités d'édition
58.2;Édition de logiciels
59.1;Services cinématographiques, vidéo et de télévision
59.2;Enregistrement sonore et édition musicale
60.1;Radiodiffusion
60.2;"Programmation de télévision et télédiffusion ; originaux d'émissions de télévision"
61.1;Services de télécommunications filaires
61.2;Services de télécommunications sans fil
61.3;Services de télécommunications par satellite
61.9;Autres services de télécommunications
62.0;Programmation, conseil et autres activités informatiques
63.1;"Traitement de données, hébergement et activités connexes ; portails internet"
63.9;Autres services d'information
64.1;Services d'intermédiation monétaire
64.2;Services des sociétés holding
64.3;Services des fonds de placement et entités financières similaires
64.9;Autres services financiers, hors assurances et caisses de retraite
65.1;Services d'assurance
65.2;Réassurance
65.3;Caisses de retraite
66.1;Services auxiliaires aux services financiers, hors assurances et caisses de retraite
66.2;Services auxiliaires des assurances et caisses de retraite
66.3;Services de gestion de fonds
68.1;Transactions sur biens immobiliers propres
68.2;Services de location et exploitation de biens immobiliers propres ou loués
68.3;Services immobiliers pour compte de tiers
69.1;Services juridiques
69.2;"Services comptables, de tenue de livres de comptes et d'audits ; services de conseil fiscal"
70.1;Services des sièges sociaux
70.2;Services de conseil en gestion
71.1;Services d'architecture et d'ingénierie et services de conseil technique connexes
71.2;Services de contrôle et analyses techniques
72.0;Recherche et développement expérimental interdisciplinaires
72.1;Recherche et développement en sciences physiques et naturelles
72.2;Recherche et développement en sciences humaines et sociales
73.1;Publicité
73.2;Services d'études de marché et de sondages
74.1;Services de design spécialisés
74.2;Services photographiques
74.3;Services de traduction et interprétation
74.9;Autres services spécialisés, scientifiques et techniques n.c.a.
75.0;Services vétérinaires
77.1;Location et location-bail de véhicules automobiles
77.2;Location et location-bail de biens personnels et domestiques
77.3;Location et location-bail d'autres machines, équipements et biens
77.4;Services de licence pour l'utilisation de produits de la propriété intellectuelle et similaires, à l'exclusion des œuvres protégées par des droits d'auteur
78.1;Services des agences de placement de main-d'œuvre
78.2;Services des agences de travail temporaire
78.3;Autres services de mise à disposition de ressources humaines
79.1;Services des agences de voyage et des voyagistes
79.9;Autres services de réservation et services connexes
80.1;Services de sécurité privée
80.2;Services de systèmes de sécurité
80.3;Services d'enquête
81.1;Services d'appui combinés liés aux bâtiments
81.2;Services de nettoyage
81.3;Services d'aménagement paysager
82.1;Services administratifs et services de soutien
82.2;Services des centres d'appels
82.3;Services d'organisation de salons professionnels et congrès
82.9;Services de soutien aux entreprises n.c.a.
84.1;Services d'administration générale, économique et sociale
84.2;Services de prérogative publique
84.3;Services de sécurité sociale obligatoire
85.1;Enseignement préprimaire
85.2;Enseignement primaire
85.3;Enseignement secondaire
85.4;Enseignement supérieur et post-secondaire non supérieur
85.5;Autres services d'enseignement
85.6;Services de soutien à l'enseignement
86.1;Services hospitaliers
86.2;Services des médecins et des dentistes
86.9;Autres services de santé humaine
87.1;Services d'hébergement médicalisé
87.2;Services d'hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes
87.3;Services d'hébergement social pour personnes âgées ou handicapées physiques
87.9;Autres services d'hébergement social
88.1;Services d'action sociale sans hébergement pour personnes âgées ou handicapées
88.9;Autres services d'action sociale sans hébergement
90.0;Services créatifs, artistiques et du spectacle
91.0;Services des bibliothèques, archives, musées et autres services culturels
92.0;Jeux de hasard et d'argent
93.1;Services liés au sport
93.2;Services récréatifs et de loisirs
94.1;Services fournis par des organisations consulaires, patronales et professionnelles
94.2;Services fournis par des syndicats de salariés
94.9;Services fournis par d'autres organisations associatives
95.1;Services de réparation d'ordinateurs et d'équipements de communication
95.2;Services de réparation de biens personnels et domestiques
96.0;Autres services personnels
97.0;Services des ménages en tant qu'employeurs de personnel domestique
98.1;Biens divers produits par les ménages privés pour leur usage propre
98.2;Services divers produits par les ménages privés pour leur usage propre
99.0;Services extra-territoriaux
